"Source:","F:\LOGSUN SYSTEM\ESP32-DVK BOARD\ESP32 DVK SCH\ESP_DVK_NEW_2_NOV\ESP_DVK_NEW_1_NOV\ESP_DVK_NEW\Esp_DVK\Esp_DVK.kicad_sch"
"Date:","11-Nov-23 1:13:51 PM"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","268"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","BATTERY0","LEADED","Esp_DVK-eagle-import:LEADED","Esp_DVK:LEADED","",""
"2","1","BZ1","BUZZ","Esp_DVK-eagle-import:BUZZ","Esp_DVK:BUZZ","",""
"3","12","C1, C2, C14, C15, C16, C17, C23, C25, C28, C29, C200, C300","22uF/10V","Esp_DVK-eagle-import:C-EUC1206","Esp_DVK:C1206","",""
"4","9","C3, C5, C6, C10, C12, C13, C20, C33, C34","0.1uF","Esp_DVK-eagle-import:rcl_C-EUC1206","Esp_DVK:C1206","",""
"5","2","C4, C8","1uF","Esp_DVK-eagle-import:C-EUC1206","Esp_DVK:C1206","",""
"6","1","C7","100nF","Esp_DVK-eagle-import:C-EUC1206","Esp_DVK:C1206","",""
"7","1","C9","0.1uF","Esp_DVK-eagle-import:C-EUC1206","Esp_DVK:C1206","",""
"8","1","C11","100uF/63V","Esp_DVK-eagle-import:CPOL-USE3.5-10","Esp_DVK:E3,5-10","",""
"9","1","C21","SMD&DIP","Esp_DVK-eagle-import:SMD&DIP","Esp_DVK:140CLH-1010","",""
"10","1","C22","0.1uF","Esp_DVK-eagle-import:rcl_C-EUC0805","Esp_DVK:C0805","",""
"11","1","C24","47uF/6.3V","Esp_DVK-eagle-import:rcl_C-EUC1206","Esp_DVK:C1206","",""
"12","1","D1","1N5624","Esp_DVK-eagle-import:1N5624","Esp_DVK:DO201-15","",""
